Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
IPCALAB,Healthcare - Formulations - Generic,MidCap,1407.84,1402.83,20.98,61.37
SAILIFE,Healthcare - CRAMS/CDMO,SmallCap,771.19,754.48,39.8,57.04
STAR,Healthcare - Formulations - Generic,SmallCap,859.19,807.03,40.91,61.93
SUNFLAG,Metals - Iron & Steel,SmallCap,297.12,281.01,30.97,55.89
AFFLE,IT - Services,SmallCap,1945.4,1844.07,28.01,60.19
NIVABUPA,Financials - Gen Insurance,SmallCap,84.47,83.8,20.1,64.05
ABDL,Beverages - Alcohol,SmallCap,430.02,407.99,35.05,64.78
FLAIR,Consumption - Stationary,SmallCap,275.14,267.6,28.85,64.69
ASALCBR,Beverages - Alcohol,SmallCap,1136.62,1131.04,33.02,66.09
DBREALTY,Real Estate,SmallCap,228.85,211.91,41.78,62.02
KOKUYOCMLN,Consumption - Stationary,SmallCap,126.25,121.23,31.69,50.72
ABCAPITAL,Financials - Diversified,MidCap,265.09,244.12,45.01,60.18
GMBREW,Beverages - Alcohol,SmallCap,738.88,722.97,34.92,56.6
SHANTIGEAR,Auto - Drivetrain,SmallCap,504.77,499.31,20.06,58.41
GODIGIT,Financials - Gen Insurance,SmallCap,341.31,332.39,34.7,51.78
STLTECH,Telecom - Equipments,SmallCap,103.23,93.42,50.4,53.27
ITDCEM,Infra - Construction,SmallCap,851.88,769.99,46.86,57.52
YUKEN,Industrial - Pumps/Engines,SmallCap,1106.75,1049.12,34.69,55.16
GRMOVER,Agri - Rice,SmallCap,362.65,338.2,22.23,65.19
BOMDYEING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,159.97,153.75,35.64,52.59
EDELWEISS,Financials - Diversified,SmallCap,111.61,105.46,37.52,59.19
SATINDLTD,Financials - Holding/Investing,SmallCap,96.91,92.98,42.01,63.05
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,1994.41,1937.2,34.75,56.04
SUNTECK,Real Estate,SmallCap,439.66,431.54,23.96,50.71
GMRAIRPORT,Infra - Airport Services,MidCap,87.65,85.76,26.44,62.65
VINDHYATEL,Telecom - Infra,SmallCap,1694.84,1635.0,34.6,56.73
BALMLAWRIE,Others,SmallCap,213.45,209.58,22.29,56.62
LLOYDSENT,Metals - Iron & Steel,SmallCap,82.79,72.36,48.89,66.87
INSECTICID,Agrochem - Pesticides,SmallCap,932.57,862.67,37.45,63.22
ALKYLAMINE,Chemicals - Specialty - Pharma,SmallCap,2221.18,2064.8,46.06,54.45
BALAMINES,Chemicals - Specialty - Pharma,SmallCap,1723.11,1583.91,37.4,61.41
VINATIORGA,Chemicals - Specialty - Pharma,SmallCap,1940.87,1866.44,26.59,50.67
SONATSOFTW,IT - Software/Consulting,SmallCap,416.29,408.2,26.52,60.57
VOLTAMP,Power - Equipment,SmallCap,9273.58,8797.06,30.27,62.46
PGIL,Textiles - Exports,SmallCap,1480.32,1393.82,31.48,56.9
KROSS,Auto - Suspension & Axles,SmallCap,190.67,185.71,21.28,51.09
MAHSCOOTER,Financials - Holding/Investing,SmallCap,14308.67,13555.0,28.49,51.95
FIRSTCRY,Consumption - Retail,SmallCap,372.41,369.94,24.22,54.08
HNDFDS,Consumption - FMCG Conglomerates ,SmallCap,547.76,542.82,30.12,58.22
JUBLINGREA,Chemicals - Specialty - Pharma,SmallCap,767.76,735.42,37.45,63.77
RELINFRA,Power - Integrated Utility,SmallCap,377.51,349.39,31.27,52.56
GESHIP,Transport - Shipping,SmallCap,993.26,969.17,32.33,51.32
HINDPETRO,Refineries & Marketing,MidCap,427.85,411.18,26.8,58.47
GOCOLORS,Textiles - Fashion Retail,SmallCap,885.09,861.93,28.69,61.9
JTEKTINDIA,Auto - Drivetrain,SmallCap,142.05,140.61,22.31,50.6
AMNPLST,Chemicals - Specialty - Plastics,SmallCap,245.14,237.96,42.76,55.2
BALRAMCHIN,Agri - Sugar,SmallCap,597.32,583.77,21.89,64.86
BIOCON,Healthcare - Biotech,MidCap,361.78,351.27,29.55,64.87
GATEWAY,Transport - Logistics,SmallCap,65.37,64.91,24.12,51.2
