Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,CMF_52D_High
NUVOCO,Infra - Cement,SmallCap,0.15,0.14,0.16,0.18,0.17,0.17,0.21,0.18,0.14,0.15,0.21
OLECTRA,Auto - CV,SmallCap,-0.02,0.09,0.08,0.11,0.17,0.23,0.15,0.1,0.17,0.16,0.23
PARAGMILK,Consumption - Dairy,SmallCap,0.08,0.06,0.06,0.07,0.06,0.07,0.16,0.16,0.17,0.2,0.2
PATANJALI,Agri - Edible Oils,MidCap,0.26,0.19,0.24,0.3,0.24,0.26,0.27,0.23,0.16,0.09,0.3
PAYTM,IT - Fintech,MidCap,0.25,0.23,0.24,0.17,0.14,0.31,0.28,0.23,0.17,0.13,0.31
PENIND,Industial Products - Precision Components,SmallCap,0.15,0.11,-0.04,-0.05,-0.33,0.01,0.02,0.01,0.03,0.01,0.15
PFIZER,Healthcare - Formulations,SmallCap,0.53,0.53,0.11,-0.07,0.04,0.03,0.04,-0.03,-0.05,0.04,0.66
PFOCUS,Media - Entertainment,SmallCap,0.45,0.37,0.35,0.33,0.35,0.2,0.2,0.08,-0.01,0.03,0.6
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,0.08,0.02,0.05,0.07,0.13,0.19,0.1,0.1,0.08,0.07,0.19
PHOENIXLTD,Real Estate,MidCap,-0.25,-0.13,-0.19,-0.18,-0.23,-0.06,-0.13,-0.1,-0.08,0.03,0.03
PNCINFRA,Infra - Road & Highways,SmallCap,0.09,-0.0,-0.0,0.05,-0.12,-0.09,-0.04,0.02,0.01,0.01,0.11
POCL,Metals - Non Ferrous,SmallCap,0.21,0.26,0.41,0.4,0.34,0.33,0.27,0.32,0.22,0.18,0.41
PRECAM,Auto - Drivetrain,SmallCap,0.36,0.32,0.3,0.22,-0.23,-0.19,-0.23,-0.21,0.13,0.13,0.37
PREMEXPLN,Defense - Explosives,SmallCap,-0.04,-0.18,-0.11,-0.34,0.01,0.03,0.04,0.24,0.27,0.31,0.31
PSPPROJECT,Infra - Residential & Commercial Buildings,SmallCap,0.0,-0.08,-0.05,0.06,0.06,0.05,0.08,0.05,0.17,0.21,0.21
PTCIL,Industrial Products - Precision Components,SmallCap,0.07,0.04,-0.05,-0.01,-0.02,-0.11,0.01,-0.13,-0.02,0.01,0.07
PVRINOX,Media - Misc,SmallCap,0.02,-0.17,-0.13,-0.02,0.02,0.19,0.22,0.23,0.18,0.19,0.23
QPOWER,Power - Equipment,SmallCap,0.41,0.38,0.28,0.18,0.16,0.18,0.11,0.08,0.06,0.04,0.45
QUADFUTURE,Power - Wiring,SmallCap,0.05,-0.04,-0.07,-0.05,-0.07,-0.03,-0.04,0.33,0.28,0.27,0.33
RACLGEAR,Auto - Drivetrain,SmallCap,0.15,0.13,-0.01,0.18,0.14,0.11,0.08,0.12,0.12,0.12,0.18
RADICO,Beverages - Alcohol,SmallCap,-0.05,-0.11,0.04,0.05,0.09,0.12,0.14,0.14,0.17,0.17,0.17
RAMCOIND,Infra - Cement,SmallCap,0.09,-0.01,-0.1,-0.08,-0.07,0.01,-0.01,-0.06,0.19,0.18,0.19
RAMCOSYS,IT - Product - Software,SmallCap,0.3,0.31,-0.16,-0.09,-0.32,0.04,0.08,0.05,0.23,0.27,0.31
